id,commune,opening_hours
1247,"Skikda","dimanche: 09:00–17:00"
1248,"Bir Mourad Raïs","dimanche: 09:00–17:00"
1249,"Skikda","dimanche: Ouvert 24h/24"
125,"Batna","dimanche: 08:00–12:3013:30–18:30"
1250,"Kouba","dimanche: 09:00–16:00"
1251,"Mohammadia","dimanche: 09:00–19:00"
1252,"Sétif","dimanche: 09:00–17:00"
1253,"Sidi MHamed","dimanche: 08:00–18:00"
1254,"El Khroub","dimanche: 08:00–15:00"
1255,"Constantine","dimanche: 09:00–20:00"
1256,"Sétif","dimanche: 09:00–18:00"
1257,"Constantine","dimanche: Ouvert 24h/24"
1258,"Annaba","dimanche: 08:00–18:00"
126,"Bouzareah","Non renseigné"
1260,"Aïn Benian","dimanche: 09:00–20:00"
1261,"El Mouradia","dimanche: 08:00–15:00 | lundi: 08:00–15:00 | mardi: 08:00–15:00 | mercredi: 08:00–15:00 | jeudi: 08:00–15:00 | vendredi: Fermé | samedi: 08:00–15:00"
1262,"Ouled Fayet","dimanche: 08:00–20:00"
1263,"Casbah","dimanche: 09:00–17:00"
1264,"Constantine","dimanche: 08:00–23:00"
1265,"Oran","dimanche: 09:00–17:00"
1266,"Annaba","dimanche: Ouvert 24h/24 | lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24 | jeudi: Ouvert 24h/24 | vendredi: Fermé | samedi: Ouvert 24h/24"
1267,"Constantine","dimanche: 07:00–20:00"
1268,"Ben Aknoun","dimanche: 08:00–17:00"
1269,"Bab El Oued","dimanche: 08:00–22:00"
127,"","dimanche: 09:00–17:00"
1270,"Constantine","dimanche: 08:30–17:00 | lundi: 08:30–17:00 | mardi: 08:30–17:00 | mercredi: 08:30–17:00 | jeudi: 08:30–17:00 | vendredi: Fermé | samedi: 08:30–17:00"
1271,"Guevara","dimanche: 08:00–00:00"
1272,"Djasr kasentina Djisr Ksentina","dimanche: Ouvert 24h/24"
